event_name,fight_id,date,weight_class,win_method,win_round,win_time,name,fighter_url,colour,str,td,sub,pass,str_against,winner,loser,blue_win,win_method_bin,num_fights,wins,losses,days_since_last_fight,tko_recieved,total_tko_recieved,fight_time,total_octagon_time,last_fight_time,last_fight_tko_received,last_fight_win,last_fight_loss,last_fight_str_against,total_str,total_str_against,height_inches,weight_lbs,reach_inches,stance
UFC_Fight_Night-Benavidez_vs_Figueiredo,65,2020-02-29,Featherweight,"KO/TKO, Punches",1,1:25,Aalon Cruz,http://www.ufcstats.com/fighter-details/003d82fa384ca1d0,red,2.0,0.0,0.0,0.0,20.0,0,1,1,TKO,0,0,0,0.0,1,0,1.0333333333333334,0.0,0.0,0,0,0,0.0,0.0,0.0,72.0,145.0,78.0,Switch
UFC_28-High_Stakes,5331,2000-11-17,Heavyweight,"SUB, Armbar",1,0:55,Aaron Brink,http://www.ufcstats.com/fighter-details/cf1a88371c8cb690,red,0.0,0.0,0.0,0.0,2.0,0,1,1,SUB,0,0,0,0.0,0,0,0.08333333333333333,0.0,0.0,0,0,0,0.0,0.0,0.0,75.0,205.0,,Orthodox
UFC_173-Barao_vs_Dillashaw,2875,2014-05-24,Featherweight,U-DEC,3,5:00,Aaron Phillips,http://www.ufcstats.com/fighter-details/34c2b3656f88f7ef,blue,18.0,0.0,1.0,1.0,37.0,0,1,0,DEC,0,0,0,0.0,0,0,15.0,0.0,0.0,0,0,0,0.0,0.0,0.0,69.0,135.0,70.0,Southpaw
UFC_Fight_Night-Henderson_vs_Dos_Anjos,2723,2014-08-23,Bantamweight,U-DEC,3,5:00,Aaron Phillips,http://www.ufcstats.com/fighter-details/34c2b3656f88f7ef,blue,38.0,0.0,0.0,0.0,63.0,0,1,0,DEC,1,0,1,91.0,0,0,15.0,15.0,15.0,0,0,1,37.0,18.0,37.0,69.0,135.0,70.0,Southpaw
UFC_37-High_Impact,5264,2002-05-10,Welterweight,U-DEC,3,5:00,Aaron Riley,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b,red,55.0,0.0,1.0,1.0,64.0,0,1,1,DEC,0,0,0,0.0,0,0,15.0,0.0,0.0,0,0,0,0.0,0.0,0.0,68.0,155.0,69.0,Southpaw
UFC_Fight_Night_3,5066,2006-01-16,Welterweight,KO/TKO,1,5:00,Aaron Riley,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b,blue,9.0,2.0,0.0,1.0,25.0,0,1,0,TKO,1,0,1,1347.0,1,0,5.0,15.0,15.0,0,0,1,64.0,55.0,64.0,68.0,155.0,69.0,Southpaw
UFC_91-Couture_vs_Lesnar,4573,2008-11-15,Lightweight,U-DEC,3,5:00,Aaron Riley,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b,red,98.0,1.0,0.0,0.0,70.0,1,0,0,DEC,2,0,2,1034.0,0,1,15.0,20.0,5.0,1,0,1,25.0,64.0,89.0,68.0,155.0,69.0,Southpaw
UFC_96-Jackson_vs_Jardine,4497,2009-03-07,Lightweight,"KO/TKO, Punch",1,0:44,Aaron Riley,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b,red,4.0,0.0,0.0,0.0,5.0,0,1,1,TKO,3,1,2,112.0,1,1,0.06666666666666667,35.0,15.0,0,1,0,70.0,162.0,159.0,68.0,155.0,69.0,Southpaw
UFC_101-Declaration,4412,2009-08-08,Lightweight,U-DEC,3,5:00,Aaron Riley,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b,red,50.0,2.0,0.0,1.0,28.0,1,0,0,DEC,4,1,3,154.0,0,2,15.0,35.06666666666667,0.06666666666666667,1,0,1,5.0,166.0,164.0,68.0,155.0,69.0,Southpaw
UFC_105-Couture_vs_Vera,4358,2009-11-14,Lightweight,KO/TKO,2,4:38,Aaron Riley,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b,blue,15.0,0.0,0.0,0.0,59.0,0,1,0,TKO,5,2,3,98.0,1,2,9.05,50.06666666666667,15.0,0,1,0,28.0,216.0,192.0,68.0,155.0,69.0,Southpaw
UFC_114-Rampage_vs_Evans,4227,2010-05-29,Lightweight,U-DEC,3,5:00,Aaron Riley,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b,red,46.0,3.0,0.0,4.0,37.0,1,0,0,DEC,6,2,4,196.0,0,3,15.0,59.116666666666674,9.05,1,0,1,59.0,231.0,251.0,68.0,155.0,69.0,Southpaw
UFC_135-Jones_vs_Rampage,3871,2011-09-24,Lightweight,KO/TKO,1,5:00,Aaron Riley,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b,blue,11.0,0.0,0.0,0.0,31.0,0,1,0,TKO,7,3,4,483.0,1,3,5.0,74.11666666666667,15.0,0,1,0,37.0,277.0,288.0,68.0,155.0,69.0,Southpaw
UFC_on_FOX-Johnson_vs_Moraga,3240,2013-07-27,Lightweight,S-DEC,3,5:00,Aaron Riley,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b,red,26.0,0.0,0.0,0.0,54.0,0,1,1,DEC,8,3,5,672.0,0,4,15.0,79.11666666666667,5.0,1,0,1,31.0,288.0,319.0,68.0,155.0,69.0,Southpaw
UFC_131-Dos_Santos_vs_Carwin,3955,2011-06-11,Heavyweight,"KO/TKO, Punches",3,1:26,Aaron Rosa,http://www.ufcstats.com/fighter-details/11f8860028b68fcf,blue,73.0,0.0,0.0,0.0,88.0,0,1,0,TKO,0,0,0,0.0,1,0,11.033333333333333,0.0,0.0,0,0,0,0.0,0.0,0.0,76.0,205.0,78.0,Orthodox
UFC_on_FOX-Velasquez_vs_Dos_Santos,3823,2011-11-12,Light Heavyweight,M-DEC,3,5:00,Aaron Rosa,http://www.ufcstats.com/fighter-details/11f8860028b68fcf,red,59.0,0.0,0.0,0.0,19.0,1,0,0,DEC,1,0,1,154.0,0,1,15.0,11.033333333333333,11.033333333333333,1,0,1,88.0,73.0,88.0,76.0,205.0,78.0,Orthodox
UFC_on_FX-Alves_vs_Kampmann,3701,2012-03-02,Light Heavyweight,"KO/TKO, Punches",1,2:08,Aaron Rosa,http://www.ufcstats.com/fighter-details/11f8860028b68fcf,red,0.0,0.0,0.0,0.0,22.0,0,1,1,TKO,2,1,1,111.0,1,1,2.0,26.03333333333333,15.0,0,1,0,19.0,132.0,107.0,76.0,205.0,78.0,Orthodox
UFC_Fight_Night-Condit_vs_Kampmann,4487,2009-04-01,Middleweight,"KO/TKO, Punches",1,1:40,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,blue,16.0,1.0,0.0,0.0,1.0,1,0,1,TKO,0,0,0,0.0,0,0,1.0666666666666667,0.0,0.0,0,0,0,0.0,0.0,0.0,72.0,170.0,73.0,Orthodox
UFC_102-Couture_vs_Nogueira,4404,2009-08-29,Middleweight,KO/TKO,2,0:17,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,blue,25.0,3.0,0.0,0.0,7.0,1,0,1,TKO,1,1,0,150.0,0,0,5.016666666666667,1.0666666666666667,1.0666666666666667,0,1,0,1.0,16.0,1.0,72.0,170.0,73.0,Orthodox
UFC_Fight_Night-Maynard_vs_Diaz,4304,2010-01-11,Middleweight,S-DEC,3,5:00,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,red,36.0,2.0,0.0,3.0,52.0,1,0,0,DEC,2,2,0,135.0,0,0,15.0,6.083333333333333,5.016666666666667,0,1,0,7.0,41.0,8.0,72.0,170.0,73.0,Orthodox
The_Ultimate_Fighter-Team_Liddell_vs_Team_Ortiz_Finale,4199,2010-06-19,Middleweight,"KO/TKO, Punches",2,4:17,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,blue,43.0,2.0,1.0,1.0,42.0,0,1,0,TKO,3,3,0,159.0,1,0,9.016666666666666,21.083333333333332,15.0,0,1,0,52.0,77.0,60.0,72.0,170.0,73.0,Orthodox
UFC_123-Rampage_vs_Machida,4098,2010-11-20,Middleweight,U-DEC,3,5:00,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,red,43.0,5.0,0.0,0.0,76.0,0,1,1,DEC,4,3,1,154.0,0,1,15.0,30.099999999999998,9.016666666666666,1,0,1,42.0,120.0,102.0,72.0,170.0,73.0,Orthodox
UFC_Fight_Night-Nogueira_vs_Davis,4000,2011-03-26,Middleweight,U-DEC,3,5:00,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,blue,59.0,10.0,0.0,4.0,14.0,1,0,1,DEC,5,3,2,126.0,0,1,15.0,45.099999999999994,15.0,0,0,1,76.0,163.0,178.0,72.0,170.0,73.0,Orthodox
UFC_132-Cruz_vs_Faber,3931,2011-07-02,Middleweight,U-DEC,3,5:00,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,blue,43.0,2.0,2.0,0.0,13.0,1,0,1,DEC,6,4,2,98.0,0,1,15.0,60.099999999999994,15.0,0,1,0,14.0,222.0,192.0,72.0,170.0,73.0,Orthodox
UFC_136-Edgar_vs_Maynard_3,3854,2011-10-08,Middleweight,U-DEC,3,5:00,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,red,58.0,0.0,0.0,0.0,14.0,1,0,0,DEC,7,5,2,98.0,0,1,15.0,75.1,15.0,0,1,0,13.0,265.0,205.0,72.0,170.0,73.0,Orthodox
UFC_on_FUEL_TV-Sanchez_vs_Ellenberger,3722,2012-02-15,Middleweight,S-DEC,3,5:00,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,red,55.0,0.0,0.0,0.0,62.0,0,1,1,DEC,8,6,2,130.0,0,1,15.0,90.1,15.0,0,1,0,14.0,323.0,219.0,72.0,170.0,73.0,Orthodox
UFC_on_FUEL_TV-Munoz_vs_Weidman,3572,2012-07-11,Welterweight,U-DEC,3,5:00,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,red,48.0,6.0,0.0,3.0,29.0,1,0,0,DEC,9,6,3,147.0,0,1,15.0,105.1,15.0,0,0,1,62.0,378.0,281.0,72.0,170.0,73.0,Orthodox
UFC_on_FX-Browne_vs_Bigfoot,3511,2012-10-05,Welterweight,"KO/TKO, Punch",2,0:29,Aaron Simpson,http://www.ufcstats.com/fighter-details/d5f820c11a121050,red,28.0,1.0,1.0,1.0,10.0,0,1,1,TKO,10,7,3,86.0,1,1,5.033333333333333,120.1,15.0,0,1,0,29.0,426.0,310.0,72.0,170.0,73.0,Orthodox
The_Ultimate_Fighter-Team_GSP_vs_Team_Koscheck_Finale,4086,2010-12-04,Lightweight,"SUB, Guillotine, Choke",1,2:03,Aaron Wilkinson,http://www.ufcstats.com/fighter-details/338a11d3674eb2d4,blue,0.0,1.0,0.0,0.0,0.0,0,1,0,SUB,0,0,0,0.0,0,0,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,70.0,155.0,,
UFC_Fight_Night-Mousasi_vs_Hall_2,1670,2016-11-19,Welterweight,"KO/TKO, Punch",1,0:53,Abdul Razak Alhassan,http://www.ufcstats.com/fighter-details/eae431e70064e046,red,12.0,0.0,0.0,0.0,2.0,1,0,0,TKO,0,0,0,0.0,0,0,0.08333333333333333,0.0,0.0,0,0,0,0.0,0.0,0.0,70.0,170.0,73.0,Orthodox
UFC_Fight_Night-Gustafsson_vs_Teixeira,1423,2017-05-28,Welterweight,S-DEC,3,5:00,Abdul Razak Alhassan,http://www.ufcstats.com/fighter-details/eae431e70064e046,red,43.0,0.0,0.0,0.0,52.0,0,1,1,DEC,1,1,0,190.0,0,0,15.0,0.08333333333333333,0.08333333333333333,0,1,0,2.0,12.0,2.0,70.0,170.0,73.0,Orthodox
UFC_218-Holloway_vs_Aldo_2,1161,2017-12-02,Welterweight,"KO/TKO, Punches",1,4:21,Abdul Razak Alhassan,http://www.ufcstats.com/fighter-details/eae431e70064e046,red,27.0,1.0,0.0,0.0,39.0,1,0,0,TKO,2,1,1,188.0,0,0,4.033333333333333,15.083333333333334,15.0,0,0,1,52.0,55.0,54.0,70.0,170.0,73.0,Orthodox
